"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 상당구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"15","충청북도 청주시 상당구 용암동","3***","12m미만","67.32","월세","202510","28","1,047","29","2024","동남로109번길","202510~202712","신규","-","","","단독다가구"
"16","충청북도 청주시 상당구 용암동","3***","12m미만","67.32","월세","202510","28","1,047","30","","동남로109번길","202510~202712","신규","-","","","단독다가구"
"17","충청북도 청주시 상당구 용암동","3***","12m미만","61.38","월세","202510","28","1,125","33","","동남로135번길","202510~202712","신규","-","","","단독다가구"
"18","충청북도 청주시 상당구 용정동","6**","12m미만","23.10","월세","202510","28","200","30","2011","영운천로133번길","202511~202610","신규","-","","","단독다가구"
"19","충청북도 청주시 상당구 용암동","1***","12m미만","42.90","월세","202510","27","300","35","1996","월평로144번길","202511~202710","신규","-","","","단독다가구"
"20","충청북도 청주시 상당구 용암동","1***","12m미만","26.40","월세","202510","27","200","32","1996","중흥로31번길","202510~202710","신규","-","","","단독다가구"
"21","충청북도 청주시 상당구 용암동","2***","12m미만","26.00","전세","202510","27","2,000","0","2012","낙영로3번길","202511~202711","신규","-","","","단독다가구"
"22","충청북도 청주시 상당구 용암동","1***","12m미만","57.08","월세","202510","27","500","30","1996","무농정로2번길","202511~202611","신규","-","","","단독다가구"
"23","충청북도 청주시 상당구 용암동","3***","25m미만","39.80","월세","202510","26","3,000","70","2022","동남로109번길","202511~202711","신규","-","","","단독다가구"
"24","충청북도 청주시 상당구 용정동","1***","25m미만","82.00","월세","202510","25","2,000","51","2014","용정로","202510~202610","신규","-","","","단독다가구"
"25","충청북도 청주시 상당구 용암동","3***","25m미만","36.58","월세","202510","25","2,000","80","","동남로","202510~202710","신규","-","","","단독다가구"
"26","충청북도 청주시 상당구 수동","2**","8m미만","233.50","월세","202510","24","500","25","1994","교동로","202510~202710","신규","-","","","단독다가구"
"27","충청북도 청주시 상당구 용암동","3***","25m미만","68.47","전세","202510","24","18,000","0","","동남로","202510~202710","신규","-","","","단독다가구"
"28","충청북도 청주시 상당구 용정동","7**","12m미만","40.00","월세","202510","23","500","35","2004","중고개로220번길","202510~202610","신규","-","","","단독다가구"
"29","충청북도 청주시 상당구 용정동","8**","12m미만","33.00","월세","202510","23","200","33","2004","영운천로187번길","202510~202710","신규","-","","","단독다가구"
"30","충청북도 청주시 상당구 용암동","1***","12m미만","27.00","월세","202510","22","300","30","2001","월평로150번길","202510~202610","신규","-","","","단독다가구"
"31","충청북도 청주시 상당구 용암동","1***","12m미만","52.68","월세","202510","22","300","38","1997","월평로214번길","202511~202710","신규","-","","","단독다가구"
"32","충청북도 청주시 상당구 용암동","2***","12m미만","23.10","월세","202510","22","200","35","2003","용암북로168번길","202511~202611","신규","-","","","단독다가구"
"33","충청북도 청주시 상당구 용암동","1***","12m미만","111.98","전세","202510","22","10,000","0","1997","월평로218번길","202510~202710","신규","-","","","단독다가구"
"34","충청북도 청주시 상당구 수동","8*","8m미만","55.00","전세","202510","22","6,000","0","","수동로","-","-","-","","","단독다가구"
"35","충청북도 청주시 상당구 서운동","3*","8m미만","25.00","월세","202510","21","300","30","2016","상당로36번길","202510~202610","신규","-","","","단독다가구"
"36","충청북도 청주시 상당구 용암동","3***","12m미만","59.86","월세","202510","21","3,000","90","2021","중고개로141번길","202511~202611","신규","-","","","단독다가구"
"37","충청북도 청주시 상당구 용암동","1***","12m미만","40.00","월세","202510","20","200","65","1996","월평로150번길","202510~202601","신규","-","","","단독다가구"
"38","충청북도 청주시 상당구 용암동","2***","25m미만","166.45","전세","202510","20","22,000","0","2021","용암북로160번길","202512~202712","신규","-","","","단독다가구"
"39","충청북도 청주시 상당구 용암동","3***","12m미만","59.86","월세","202510","20","3,000","85","2021","중고개로141번길","202510~202610","신규","-","","","단독다가구"
"40","충청북도 청주시 상당구 용정동","8**","12m미만","56.00","월세","202510","20","500","55","2005","영운천로179번길","202510~202610","신규","-","","","단독다가구"
"41","충청북도 청주시 상당구 영운동","4*","12m미만","52.00","전세","202510","20","8,500","0","2017","쇠내로146번길","202511~202711","신규","-","","","단독다가구"
"42","충청북도 청주시 상당구 용정동","1***","25m미만","66.00","월세","202510","20","1,000","60","2014","용정로","202510~202710","신규","-","","","단독다가구"
"43","충청북도 청주시 상당구 용암동","2***","12m미만","36.00","전세","202510","20","2,500","0","2003","용암북로76번길","202510~202710","신규","-","","","단독다가구"
"44","충청북도 청주시 상당구 용암동","3***","12m미만","37.84","월세","202510","19","1,000","80","2022","중고개로125번길","202510~202610","신규","-","","","단독다가구"
"45","충청북도 청주시 상당구 용정동","1***","12m미만","83.70","전세","202510","19","15,000","0","2017","영운천로203번길","202511~202711","신규","-","","","단독다가구"
"46","충청북도 청주시 상당구 용정동","1***","12m미만","83.70","전세","202510","19","15,000","0","2017","영운천로203번길","202511~202711","신규","-","","","단독다가구"
"47","충청북도 청주시 상당구 서운동","5*","8m미만","25.00","월세","202510","18","2,000","40","2022","상당로22번길","-","-","-","","","단독다가구"
"48","충청북도 청주시 상당구 용암동","3***","25m미만","23.79","월세","202510","17","1,000","55","","동남로","202510~202610","신규","-","","","단독다가구"
"49","충청북도 청주시 상당구 용암동","3***","12m미만","143.51","월세","202510","17","8,000","35","2023","월운로66번길","202510~202806","신규","-","","","단독다가구"
"50","충청북도 청주시 상당구 용암동","2***","12m미만","33.00","월세","202510","16","500","53","2003","낙영로36번길","202510~202710","신규","-","","","단독다가구"
"51","충청북도 청주시 상당구 용암동","1***","12m미만","39.00","월세","202510","16","300","45","1998","월평로150번길","202511~202710","신규","-","","","단독다가구"
"52","충청북도 청주시 상당구 용암동","2***","12m미만","23.00","월세","202510","15","0","12","2002","용암북로92번길","202510~202610","신규","-","","","단독다가구"
"53","충청북도 청주시 상당구 용암동","1***","12m미만","50.00","월세","202510","15","1,000","60","1996","용암북로46번길","202511~202710","신규","-","","","단독다가구"
"54","충청북도 청주시 상당구 용암동","2***","12m미만","23.00","월세","202510","15","0","12","2002","용암북로92번길","202510~202610","신규","-","","","단독다가구"
"55","충청북도 청주시 상당구 용암동","3***","25m미만","28.90","월세","202510","15","500","60","","동남로","202511~202711","신규","-","","","단독다가구"
"56","충청북도 청주시 상당구 용암동","3***","12m미만","29.58","월세","202510","15","1,000","65","2021","중고개로141번길","202510~202710","신규","-","","","단독다가구"
"57","충청북도 청주시 상당구 용암동","3***","12m미만","95.85","월세","202510","14","5,000","130","2021","중고개로141번길","202511~202711","신규","-","","","단독다가구"
"58","충청북도 청주시 상당구 용암동","3***","25m미만","72.46","전세","202510","14","18,000","0","","동남로","202510~202710","신규","-","","","단독다가구"
"59","충청북도 청주시 상당구 용암동","1***","12m미만","45.00","월세","202510","14","300","62","2000","중흥로31번길","202510~202610","신규","-","","","단독다가구"
"60","충청북도 청주시 상당구 용암동","3***","25m미만","30.00","월세","202510","14","1,000","60","2025","동남로123번길","202511~202711","신규","-","","","단독다가구"
"61","충청북도 청주시 상당구 용암동","3***","25m미만","22.00","월세","202510","13","500","48","2020","운동로","202510~202610","신규","-","","","단독다가구"
"62","충청북도 청주시 상당구 용암동","2***","12m미만","23.10","월세","202510","13","200","30","2003","용암북로168번길","202510~202610","신규","-","","","단독다가구"
"63","충청북도 청주시 상당구 용암동","3***","12m미만","54.70","월세","202510","13","1,000","65","2020","중고개로125번길","202510~202610","신규","-","","","단독다가구"
"64","충청북도 청주시 상당구 서운동","4*","8m미만","50.00","전세","202510","13","12,000","0","2020","상당로36번길","202511~202711","신규","-","","","단독다가구"
"65","충청북도 청주시 상당구 용암동","1***","12m미만","51.52","월세","202510","12","300","43","2000","용암북로6번길","202510~202710","신규","-","","","단독다가구"
"66","충청북도 청주시 상당구 용정동","1***","12m미만","23.10","월세","202510","12","200","35","2013","영운천로203번길","202510~202610","신규","-","","","단독다가구"
"67","충청북도 청주시 상당구 용정동","1***","12m미만","50.00","월세","202510","11","500","55","2013","용암북로","202510~202710","신규","-","","","단독다가구"
"68","충청북도 청주시 상당구 용정동","1***","12m미만","40.00","월세","202510","11","1,000","65","2014","용정로38번길","202510~202710","신규","-","","","단독다가구"
"69","충청북도 청주시 상당구 용암동","3***","25m미만","37.20","월세","202510","11","1,000","70","2021","동남로109번길","202510~202610","신규","-","","","단독다가구"
"70","충청북도 청주시 상당구 용정동","7**","12m미만","58.00","월세","202510","10","500","40","2003","중고개로224번길","202510~202610","신규","-","","","단독다가구"
"71","충청북도 청주시 상당구 용암동","3***","25m미만","52.72","월세","202510","10","2,000","80","2024","동남로147번길","202510~202610","신규","-","","","단독다가구"
"72","충청북도 청주시 상당구 용정동","6**","12m미만","100.00","월세","202510","10","2,000","62","2009","영운천로137번길","202510~202710","신규","-","","","단독다가구"
"73","충청북도 청주시 상당구 용암동","1***","12m미만","36.09","월세","202510","10","300","25","1995","무농정로31번길","202510~202610","신규","-","","","단독다가구"
"74","충청북도 청주시 상당구 용암동","2***","12m미만","56.10","월세","202510","10","500","50","2003","낙영로","202510~202710","신규","-","","","단독다가구"
"75","충청북도 청주시 상당구 남일면 고은리","4**","8m미만","156.77","월세","202510","09","500","85","2024","단재로","202510~202610","신규","-","","","단독다가구"
"76","충청북도 청주시 상당구 용암동","1***","12m미만","57.29","월세","202510","09","300","30","1996","무농정로2번길","202510~202710","신규","-","","","단독다가구"
"77","충청북도 청주시 상당구 남주동","5**","8m미만","183.35","월세","202510","09","200","35","","남사로80번길","202510~202610","신규","-","","","단독다가구"
"78","충청북도 청주시 상당구 용정동","1***","12m미만","115.74","월세","202510","04","2,500","90","2014","용정로18번길","202510~202710","신규","-","","","단독다가구"
"79","충청북도 청주시 상당구 용정동","1***","12m미만","50.00","월세","202510","04","500","50","2010","호미로206번길","202510~202710","신규","-","","","단독다가구"
"80","충청북도 청주시 상당구 용정동","1***","25m미만","46.00","월세","202510","03","500","50","2017","용정로12번길","202510~202610","신규","-","","","단독다가구"
"81","충청북도 청주시 상당구 용암동","3***","25m미만","42.90","월세","202510","03","2,000","65","2023","동남로73번길","202510~202610","신규","-","","","단독다가구"
"82","충청북도 청주시 상당구 용암동","1***","12m미만","23.10","월세","202510","02","100","20","1999","용암로103번길","202510~202610","신규","-","","","단독다가구"
"83","충청북도 청주시 상당구 용암동","3***","25m미만","60.00","월세","202510","02","2,000","90","","동남로","202510~202610","신규","-","","","단독다가구"
"84","충청북도 청주시 상당구 방서동","8**","25m미만","59.00","전세","202510","02","6,500","0","2023","월운로","202510~202710","신규","-","","","단독다가구"
"85","충청북도 청주시 상당구 용암동","2***","12m미만","23.10","월세","202510","01","200","35","2011","용암북로200번길","202510~202610","신규","-","","","단독다가구"
"86","충청북도 청주시 상당구 남일면 화당리","4**","8m미만","143.62","월세","202510","01","1,000","25","2007","화당1길","202512~202612","신규","-","","","단독다가구"
"87","충청북도 청주시 상당구 금천동","1**","8m미만","59.40","월세","202510","01","500","45","","중고개로337번길","202510~202709","신규","-","","","단독다가구"
"88","충청북도 청주시 상당구 용정동","7**","12m미만","33.00","월세","202510","01","500","47","2006","중고개로216번길","202510~202610","신규","-","","","단독다가구"
"89","충청북도 청주시 상당구 용암동","1***","12m미만","55.00","월세","202509","30","500","50","1996","용암북로44번길","202510~202710","신규","-","","","단독다가구"
"90","충청북도 청주시 상당구 금천동","1**","8m미만","33.00","월세","202509","30","300","35","2001","수영로210번길","202510~202610","신규","-","","","단독다가구"
"91","충청북도 청주시 상당구 용암동","6**","12m미만","23.67","월세","202509","30","0","45","2001","용암북로46번길","202510~202610","신규","-","","","단독다가구"
"92","충청북도 청주시 상당구 용암동","2***","12m미만","42.00","월세","202509","30","300","50","2003","용암북로160번길","202510~202710","신규","-","","","단독다가구"
"93","충청북도 청주시 상당구 탑동","3**","12m미만","25.00","월세","202509","29","1,000","20","2001","탑동로1번길","202509~202609","신규","-","","","단독다가구"
"94","충청북도 청주시 상당구 용암동","2***","12m미만","33.00","월세","202509","29","500","50","2003","낙영로36번길","202510~202710","신규","-","","","단독다가구"
"95","충청북도 청주시 상당구 용암동","1***","12m미만","23.49","월세","202509","29","100","25","1995","용암북로46번길","202510~202610","신규","-","","","단독다가구"
"96","충청북도 청주시 상당구 용암동","2***","12m미만","38.00","월세","202509","28","2,000","29","2014","용암북로168번길","202510~202710","신규","-","","","단독다가구"
"97","충청북도 청주시 상당구 용암동","3***","25m미만","33.00","월세","202509","28","1,000","70","2020","중고개로125번길","202509~202609","신규","-","","","단독다가구"
"98","충청북도 청주시 상당구 용암동","1***","12m미만","55.88","월세","202509","28","500","45","1998","월평로214번길","202510~202610","신규","-","","","단독다가구"
"99","충청북도 청주시 상당구 서운동","*","12m미만","25.00","월세","202509","27","100","30","2013","탑동로1번길","202509~202609","신규","-","","","단독다가구"
"100","충청북도 청주시 상당구 용암동","3***","12m미만","48.88","전세","202509","27","12,000","0","2021","중고개로141번길","202510~202710","신규","-","","","단독다가구"
"101","충청북도 청주시 상당구 용암동","1***","12m미만","25.00","월세","202509","26","300","30","2001","월평로150번길","202510~202609","신규","-","","","단독다가구"
"102","충청북도 청주시 상당구 용정동","1***","12m미만","60.33","전세","202509","26","7,500","0","2013","용암북로","202510~202710","신규","-","","","단독다가구"
"103","충청북도 청주시 상당구 용암동","3***","12m미만","53.57","월세","202509","26","1,000","80","2022","동남로73번길","202510~202610","신규","-","","","단독다가구"
"104","충청북도 청주시 상당구 금천동","1**","12m미만","56.10","월세","202509","26","1,000","65","2004","영운로96번길","202509~202609","신규","-","","","단독다가구"
"105","충청북도 청주시 상당구 서운동","4*","8m미만","39.00","월세","202509","26","300","55","2013","상당로36번길","202509~202609","신규","-","","","단독다가구"
"106","충청북도 청주시 상당구 용암동","1***","12m미만","25.00","월세","202509","26","300","30","2001","월평로150번길","202510~202610","신규","-","","","단독다가구"
"107","충청북도 청주시 상당구 용암동","3***","12m미만","87.71","월세","202509","25","3,000","80","2021","중고개로141번길","202510~202610","신규","-","","","단독다가구"
"108","충청북도 청주시 상당구 용정동","7**","12m미만","22.00","월세","202509","25","200","50","2003","중고개로212번길","202510~202603","신규","-","","","단독다가구"
"109","충청북도 청주시 상당구 용정동","7**","12m미만","45.00","월세","202509","25","500","50","2004","영운천로179번길","202509~202609","신규","-","","","단독다가구"
"110","충청북도 청주시 상당구 용암동","1***","12m미만","39.00","월세","202509","25","400","45","1996","월평로210번길","202510~202710","신규","-","","","단독다가구"
"111","충청북도 청주시 상당구 용암동","3***","25m미만","20.00","월세","202509","25","1,500","45","2021","동남로109번길","-","-","-","","","단독다가구"
"112","충청북도 청주시 상당구 용암동","1***","12m미만","23.10","월세","202509","25","100","20","1999","용암북로46번길","202509~202609","신규","-","","","단독다가구"
"113","충청북도 청주시 상당구 용암동","3***","12m미만","26.69","월세","202509","25","2,500","53","2023","중고개로141번길","202510~202610","신규","-","","","단독다가구"
"114","충청북도 청주시 상당구 용암동","3***","12m미만","59.38","월세","202509","25","2,500","70","2022","동남로73번길","202510~202710","신규","-","","","단독다가구"
"115","충청북도 청주시 상당구 용암동","2***","12m미만","23.10","월세","202509","24","300","30","2009","호미로161번길","202509~202609","신규","-","","","단독다가구"
"116","충청북도 청주시 상당구 용암동","3***","12m미만","85.57","전세","202509","24","17,000","0","2020","중고개로141번길","202510~202710","신규","-","","","단독다가구"
"117","충청북도 청주시 상당구 용정동","7**","12m미만","50.00","월세","202509","23","2,000","40","2005","중고개로224번길","202510~202710","신규","-","","","단독다가구"
"118","충청북도 청주시 상당구 금천동","9*","8m미만","76.88","월세","202509","23","500","35","1981","꽃산서로","202510~202710","신규","-","","","단독다가구"
"119","충청북도 청주시 상당구 용암동","3***","25m미만","29.23","월세","202509","23","1,000","65","2022","동남로","202510~202710","신규","-","","","단독다가구"
"120","충청북도 청주시 상당구 용암동","1***","12m미만","80.04","월세","202509","23","3,559","12","2019","용암로103번길","202510~202709","갱신","-","703","24","단독다가구"
"121","충청북도 청주시 상당구 용정동","7**","12m미만","35.00","월세","202509","23","300","42","2004","영운천로179번길","202509~202709","신규","-","","","단독다가구"
"122","충청북도 청주시 상당구 용암동","3***","25m미만","28.49","월세","202509","22","2,000","51","2022","중고개로125번길","202510~202710","신규","-","","","단독다가구"
"123","충청북도 청주시 상당구 서문동","1**","8m미만","45.00","월세","202509","22","600","48","2015","남사로93번길","202510~202610","신규","-","","","단독다가구"
"124","충청북도 청주시 상당구 용정동","1***","12m미만","33.00","월세","202509","22","500","45","2013","용정로38번길","202510~202610","신규","-","","","단독다가구"
"125","충청북도 청주시 상당구 탑동","3**","12m미만","29.70","전세","202509","22","3,250","0","2001","탑동로1번길","202509~202709","신규","-","","","단독다가구"
"126","충청북도 청주시 상당구 탑동","3**","8m미만","188.65","전세","202509","22","7,000","0","1999","탑동로1번길","202509~202709","신규","-","","","단독다가구"
"127","충청북도 청주시 상당구 용암동","3***","12m미만","25.20","월세","202509","22","500","50","2022","동남로109번길","202509~202609","신규","-","","","단독다가구"
"128","충청북도 청주시 상당구 용암동","3***","25m미만","40.01","월세","202509","22","2,000","80","2023","월운로","202510~202710","신규","-","","","단독다가구"
"129","충청북도 청주시 상당구 영운동","1**","25m미만","70.17","월세","202509","22","300","35","1977","영운로","202509~202709","신규","-","","","단독다가구"
"130","충청북도 청주시 상당구 용정동","9**","12m미만","60.00","월세","202509","21","1,000","40","2007","호미로222번길","202510~202710","신규","-","","","단독다가구"
"131","충청북도 청주시 상당구 용정동","7**","12m미만","40.00","월세","202509","21","300","30","2003","중고개로216번길","202510~202610","신규","-","","","단독다가구"
"132","충청북도 청주시 상당구 용정동","1***","12m미만","50.00","월세","202509","21","500","50","2015","용정로32번길","202510~202710","신규","-","","","단독다가구"
"133","충청북도 청주시 상당구 용암동","2***","12m미만","39.00","월세","202509","20","300","43","2003","용암북로168번길","202510~202710","신규","-","","","단독다가구"
"134","충청북도 청주시 상당구 용암동","1***","12m미만","104.51","전세","202509","20","11,000","0","1996","무농정로2번길","202511~202711","신규","-","","","단독다가구"
"135","충청북도 청주시 상당구 용암동","3***","12m미만","47.91","월세","202509","20","1,000","80","2022","중고개로141번길","202510~202710","신규","-","","","단독다가구"
"136","충청북도 청주시 상당구 용암동","3***","25m미만","122.19","월세","202509","19","6,000","140","2023","동남로83번길","202510~202710","신규","-","","","단독다가구"
"137","충청북도 청주시 상당구 용암동","3***","25m미만","122.19","월세","202509","19","6,000","140","2023","동남로83번길","202510~202710","신규","-","","","단독다가구"
"138","충청북도 청주시 상당구 용암동","6**","12m미만","23.10","월세","202509","18","200","25","2004","용암로99번길","202509~202609","신규","-","","","단독다가구"
"139","충청북도 청주시 상당구 영운동","7*","12m미만","39.00","월세","202509","17","500","30","","영운천로69번길","202510~202710","신규","-","","","단독다가구"
"140","충청북도 청주시 상당구 남일면 신송리","5**","8m미만","162.87","월세","202509","17","3,000","70","2015","가좌신송로","202511~202711","신규","-","","","단독다가구"
"141","충청북도 청주시 상당구 용정동","9**","12m미만","49.50","월세","202509","16","1,000","40","2005","용정로2번길","202511~202711","신규","-","","","단독다가구"
"142","충청북도 청주시 상당구 용암동","3***","12m미만","49.30","전세","202509","16","15,000","0","2025","중고개로141번길","202511~202710","신규","-","","","단독다가구"
"143","충청북도 청주시 상당구 용암동","3***","12m미만","33.56","전세","202509","16","13,000","0","2022","중고개로125번길","202509~202709","신규","-","","","단독다가구"
"144","충청북도 청주시 상당구 용암동","3***","12m미만","31.22","월세","202509","16","1,000","65","2024","중고개로125번길","202509~202709","신규","-","","","단독다가구"
"145","충청북도 청주시 상당구 탑동","3**","12m미만","30.00","월세","202509","16","300","27","2001","탑동로1번길","202509~202609","신규","-","","","단독다가구"
"146","충청북도 청주시 상당구 용암동","1***","12m미만","23.10","월세","202509","16","100","20","1999","용암북로46번길","202509~202609","신규","-","","","단독다가구"
"147","충청북도 청주시 상당구 용암동","1***","12m미만","33.00","월세","202509","16","300","40","1998","용암북로44번길","202509~202709","신규","-","","","단독다가구"
"148","충청북도 청주시 상당구 북문로2가","7*","12m미만","88.32","월세","202509","16","1,000","60","1981","사직대로361번길","202510~202710","신규","-","","","단독다가구"
"149","충청북도 청주시 상당구 영운동","1**","12m미만","23.10","월세","202509","16","200","20","2000","수영로137번길","202509~202611","신규","-","","","단독다가구"
"150","충청북도 청주시 상당구 서운동","2*","12m미만","30.00","월세","202509","15","200","46","2013","상당로14번길","202509~202609","신규","-","","","단독다가구"
"151","충청북도 청주시 상당구 탑동","9*","12m미만","25.00","월세","202509","15","50","72","2001","산성로49번길","202509~202603","신규","-","","","단독다가구"
"152","충청북도 청주시 상당구 용암동","3***","12m미만","36.68","월세","202509","15","2,000","80","2022","중고개로125번길","202509~202709","신규","-","","","단독다가구"
"153","충청북도 청주시 상당구 용암동","3***","12m미만","36.00","월세","202509","15","2,000","80","2022","중고개로125번길","-","-","-","","","단독다가구"
"154","충청북도 청주시 상당구 용암동","3***","12m미만","49.05","월세","202509","15","5,000","55","2025","동남로77번길","202509~202609","신규","-","","","단독다가구"
"155","충청북도 청주시 상당구 용정동","9**","25m미만","33.00","월세","202509","15","500","50","2013","용정로12번길","202509~202609","신규","-","","","단독다가구"
"156","충청북도 청주시 상당구 용정동","6**","12m미만","26.40","월세","202509","15","300","40","2007","영운천로133번길","202509~202609","신규","-","","","단독다가구"
"157","충청북도 청주시 상당구 용정동","8**","12m미만","33.00","월세","202509","15","200","44","2007","영운천로179번길","202510~202710","신규","-","","","단독다가구"
"158","충청북도 청주시 상당구 용암동","3***","12m미만","27.00","전세","202509","15","6,000","0","2021","중고개로141번길","-","-","-","","","단독다가구"
"159","충청북도 청주시 상당구 용암동","2***","12m미만","110.00","전세","202509","15","10,000","0","2004","용암북로180번길","202509~202709","신규","-","","","단독다가구"
"160","충청북도 청주시 상당구 용암동","3***","25m미만","37.04","월세","202509","14","2,000","70","2022","월운로","202509~202709","신규","-","","","단독다가구"
"161","충청북도 청주시 상당구 용정동","1***","25m미만","40.00","월세","202509","14","1,500","30","2014","용암북로","-","-","-","","","단독다가구"
"162","충청북도 청주시 상당구 용암동","1***","12m미만","40.00","월세","202509","14","500","40","2018","용암로99번길","202509~202612","신규","-","","","단독다가구"
"163","충청북도 청주시 상당구 용암동","3***","25m미만","29.32","월세","202509","13","1,000","60","2022","동남로109번길","202509~202609","신규","-","","","단독다가구"
"164","충청북도 청주시 상당구 탑동","3*","12m미만","79.37","월세","202509","13","1,000","35","1994","탑동로","202509~202710","갱신","사용","2,000","25","단독다가구"
"165","충청북도 청주시 상당구 용정동","1***","12m미만","33.00","월세","202509","13","500","40","2014","용정로38번길","202509~202709","신규","-","","","단독다가구"
"166","충청북도 청주시 상당구 용정동","7**","12m미만","70.00","월세","202509","13","1,000","75","2003","영운천로153번길","202509~202709","신규","-","","","단독다가구"
"167","충청북도 청주시 상당구 용암동","3***","25m미만","79.93","월세","202509","12","3,000","75","2022","동남로","202510~202710","신규","-","","","단독다가구"
"168","충청북도 청주시 상당구 용정동","6**","12m미만","45.00","월세","202509","12","500","50","2011","영운천로133번길","202509~202709","신규","-","","","단독다가구"
"169","충청북도 청주시 상당구 용암동","2***","12m미만","56.30","전세","202509","12","7,000","0","2003","낙영로40번길","202510~202710","신규","-","","","단독다가구"
"170","충청북도 청주시 상당구 대성동","3*","8m미만","110.97","월세","202509","12","4,000","42","1992","당산로31번길","202509~202709","신규","-","","","단독다가구"
"171","충청북도 청주시 상당구 용암동","2***","12m미만","50.00","월세","202509","12","500","45","2002","용암북로80번길","202509~202709","신규","-","","","단독다가구"
